Date,Version,Path,Views
2024-11-19 00:00:00,latest,/project_2.html,1
2024-11-19 00:00:00,latest,/project_1.html,3
2024-11-19 00:00:00,latest,/lab_8.html,1
2024-11-19 00:00:00,latest,/lecture_18.html,1
2024-11-19 00:00:00,latest,/lecture_19.html,1
2024-11-19 00:00:00,latest,/notebooks.html,6
2024-11-19 00:00:00,latest,/index.html,5
2024-11-18 00:00:00,latest,/project_3.html,1
2024-11-18 00:00:00,latest,/lab_8.html,1
2024-11-18 00:00:00,latest,/lecture_15.html,1
2024-11-18 00:00:00,latest,/lecture_20_exercise_solution.html,3
2024-11-18 00:00:00,latest,/lecture_18.html,3
2024-11-18 00:00:00,latest,/lecture_20.html,3
2024-11-18 00:00:00,latest,/project_1.html,7
2024-11-18 00:00:00,latest,/lecture_22.html,1
2024-11-18 00:00:00,latest,/notebooks.html,6
2024-11-18 00:00:00,latest,/lecture_17.html,1
2024-11-18 00:00:00,latest,/office_hours.html,1
2024-11-18 00:00:00,latest,/lab_11.html,4
2024-11-18 00:00:00,latest,/lab_10.html,1
2024-11-18 00:00:00,latest,/lab_11_guide.html,2
2024-11-18 00:00:00,latest,/lecture_16.html,2
2024-11-18 00:00:00,latest,/lecture_21.html,1
2024-11-18 00:00:00,latest,/index.html,49
2024-11-18 00:00:00,latest,/week_8.html,1
2024-11-18 00:00:00,latest,/lab_9.html,1
2024-11-18 00:00:00,latest,/project_2.html,10
2024-11-17 00:00:00,latest,/search.html,10
2024-11-17 00:00:00,latest,/lab_9.html,2
2024-11-17 00:00:00,latest,/project_2.html,9
2024-11-17 00:00:00,latest,/project_1.html,10
2024-11-17 00:00:00,latest,/index.html,32
2024-11-17 00:00:00,latest,/lecture_16.html,3
2024-11-17 00:00:00,latest,/lab_10.html,2
2024-11-17 00:00:00,latest,/lab_11_guide.html,1
2024-11-17 00:00:00,latest,/office_hours.html,1
2024-11-17 00:00:00,latest,/lecture_17.html,1
2024-11-17 00:00:00,latest,/lab_11.html,4
2024-11-17 00:00:00,latest,/lab_11_solutions.html,4
2024-11-17 00:00:00,latest,/notebooks.html,11
2024-11-17 00:00:00,latest,/lab_8_guide.html,2
2024-11-17 00:00:00,latest,/lecture_22.html,1
2024-11-17 00:00:00,latest,/lecture_20.html,2
2024-11-17 00:00:00,latest,/lecture_21.html,3
2024-11-17 00:00:00,latest,/lecture_20_exercise_sec_1.html,2
2024-11-17 00:00:00,latest,/lab_8.html,9
2024-11-17 00:00:00,latest,/lecture_15.html,1
2024-11-17 00:00:00,latest,/lecture_20_exercise_solution.html,1
2024-11-17 00:00:00,latest,/project_3.html,2
2024-11-17 00:00:00,latest,/lecture_19.html,2
2024-11-16 00:00:00,latest,/lab_11.html,4
2024-11-16 00:00:00,latest,/lecture_20.html,4
2024-11-16 00:00:00,latest,/lecture_19.html,2
2024-11-16 00:00:00,latest,/lab_10_guide.html,1
2024-11-16 00:00:00,latest,/project_1.html,14
2024-11-16 00:00:00,latest,/lab_11_solutions.html,2
2024-11-16 00:00:00,latest,/index.html,41
2024-11-16 00:00:00,latest,/lecture_21.html,3
2024-11-16 00:00:00,latest,/lab_11_guide.html,2
2024-11-16 00:00:00,latest,/lecture_20_exercise_solution.html,6
2024-11-16 00:00:00,latest,/project_2.html,6
2024-11-16 00:00:00,latest,/office_hours.html,1
2024-11-16 00:00:00,latest,/search.html,1
2024-11-16 00:00:00,latest,/lecture_20_exercise_sec_2.html,4
2024-11-16 00:00:00,latest,/notebooks.html,11
2024-11-16 00:00:00,latest,/lab_10.html,1
2024-11-15 00:00:00,latest,/lab_10_guide.html,4
2024-11-15 00:00:00,latest,/lecture_17.html,3
2024-11-15 00:00:00,latest,/lab_11_guide.html,58
2024-11-15 00:00:00,latest,/lecture_20_exercise_solution.html,17
2024-11-15 00:00:00,latest,/lab_11.html,88
2024-11-15 00:00:00,latest,/lecture_24.html,1
2024-11-15 00:00:00,latest,/lab_11_solutions.html,46
2024-11-15 00:00:00,latest,/lecture_21.html,3
2024-11-15 00:00:00,latest,/week_11.html,4
2024-11-15 00:00:00,latest,/lecture_19.html,5
2024-11-15 00:00:00,latest,/lecture_18.html,3
2024-11-15 00:00:00,latest,/lecture_20.html,7
2024-11-15 00:00:00,latest,/lecture_22.html,3
